"name","time","duration"
"Czas oczekiwania","2017-09-02T15:25:09.286Z",95
"Czas oczekiwania","2017-09-02T15:25:10.938Z",106
"Czas oczekiwania","2017-09-02T15:25:12.311Z",157
"Czas oczekiwania","2017-09-02T15:25:13.782Z",118
"Czas oczekiwania","2017-09-02T15:25:15.376Z",184
"Czas oczekiwania","2017-09-02T15:25:17.233Z",120
"Czas oczekiwania","2017-09-02T15:25:18.936Z",98
"Czas oczekiwania","2017-09-02T15:25:20.601Z",131
"Czas oczekiwania","2017-09-02T15:25:23.16Z",223
"Krok 2","2017-09-02T15:22:41.411Z",283
"Krok 2","2017-09-02T15:22:42.995Z",242
"Krok 2","2017-09-02T15:22:44.794Z",268
"Krok 2","2017-09-02T15:22:46.755Z",226
"Krok 2","2017-09-02T15:22:48.102Z",314
"Krok 2","2017-09-02T15:22:49.853Z",173
"Krok 2","2017-09-02T15:22:51.487Z",165
"Krok 2","2017-09-02T15:22:53.162Z",343
"Krok 2","2017-09-02T15:22:54.66Z",176
"Krok 2","2017-09-02T15:22:56.091Z",205
"Krok 2","2017-09-02T15:22:57.691Z",167
"Krok 2","2017-09-02T15:22:59.3Z",158
"Krok 2","2017-09-02T15:23:00.773Z",222
"Krok 2","2017-09-02T15:23:02.487Z",231
"Krok 2","2017-09-02T15:23:04.131Z",240
"Krok 2","2017-09-02T15:23:06.016Z",226
"Krok 2","2017-09-02T15:23:07.818Z",433
"Krok 2","2017-09-02T15:23:09.418Z",174
"Krok 2","2017-09-02T15:23:11.11Z",185
"Krok 2","2017-09-02T15:23:12.341Z",190
"Krok 2","2017-09-02T15:23:14.04Z",183
"Krok 2","2017-09-02T15:23:15.664Z",189
"Krok 2","2017-09-02T15:23:17.317Z",212
"Krok 2","2017-09-02T15:23:18.771Z",188
"Krok 2","2017-09-02T15:23:20.019Z",243
"Krok 2","2017-09-02T15:23:21.365Z",198
"Krok 2","2017-09-02T15:23:23.626Z",192
"Krok 2","2017-09-02T15:23:24.783Z",1042
"Krok 2","2017-09-02T15:23:25.987Z",285
"Krok 2","2017-09-02T15:23:27.719Z",235
"Krok 2","2017-09-02T15:23:29.303Z",330
"Krok 2","2017-09-02T15:23:30.869Z",232
"Krok 2","2017-09-02T15:23:32.427Z",189
"Krok 2","2017-09-02T15:23:33.74Z",518
"Krok 2","2017-09-02T15:23:35.311Z",173
"Krok 2","2017-09-02T15:23:37.036Z",184
"Krok 2","2017-09-02T15:23:38.6Z",216
"Krok 2","2017-09-02T15:23:40.135Z",171
"Krok 2","2017-09-02T15:23:41.949Z",206
"Krok 2","2017-09-02T15:23:43.674Z",196
"Krok 2","2017-09-02T15:23:45.331Z",195
"Krok 2","2017-09-02T15:23:46.782Z",187
"Krok 2","2017-09-02T15:23:48.402Z",183
"Krok 2","2017-09-02T15:23:49.951Z",269
"Krok 2","2017-09-02T15:23:51.541Z",189
"Krok 2","2017-09-02T15:23:53.251Z",215
"Krok 2","2017-09-02T15:23:54.851Z",239
"Krok 2","2017-09-02T15:23:56.353Z",293
"Krok 2","2017-09-02T15:23:57.993Z",219
"Krok 2","2017-09-02T15:23:59.845Z",252
"Krok 2","2017-09-02T15:24:00.97Z",263
"Krok 2","2017-09-02T15:24:02.661Z",203
"Krok 2","2017-09-02T15:24:03.677Z",188
"Krok 2","2017-09-02T15:24:05.086Z",196
"Krok 2","2017-09-02T15:24:06.511Z",240
"Krok 2","2017-09-02T15:24:08.903Z",176
"Krok 2","2017-09-02T15:24:10.318Z",226
"Krok 2","2017-09-02T15:24:12.151Z",201
"Krok 2","2017-09-02T15:24:13.721Z",201
"Krok 2","2017-09-02T15:24:15.519Z",183
"Krok 2","2017-09-02T15:24:17.088Z",190
"Krok 2","2017-09-02T15:24:18.598Z",184
"Krok 2","2017-09-02T15:24:20.007Z",177
"Krok 2","2017-09-02T15:24:21.59Z",255
"Krok 2","2017-09-02T15:24:22.857Z",167
"Krok 2","2017-09-02T15:24:24.489Z",184
"Krok 2","2017-09-02T15:24:26.026Z",182
"Krok 2","2017-09-02T15:24:28.6Z",262
"Krok 2","2017-09-02T15:24:30.091Z",187
"Krok 2","2017-09-02T15:24:31.965Z",181
"Krok 2","2017-09-02T15:24:33.571Z",195
"Krok 2","2017-09-02T15:24:35.22Z",237
"Krok 2","2017-09-02T15:24:36.898Z",390
"Krok 2","2017-09-02T15:24:38.482Z",290
"Krok 2","2017-09-02T15:24:40.018Z",211
"Krok 2","2017-09-02T15:24:41.591Z",192
"Krok 2","2017-09-02T15:24:43.371Z",203
"Krok 2","2017-09-02T15:24:46.098Z",191
"Krok 2","2017-09-02T15:24:47.696Z",198
"Krok 2","2017-09-02T15:24:48.856Z",286
"Krok 2","2017-09-02T15:24:50.41Z",395
"Krok 2","2017-09-02T15:24:52.091Z",182
"Krok 2","2017-09-02T15:24:53.262Z",200
"Krok 2","2017-09-02T15:24:55.091Z",173
"Krok 2","2017-09-02T15:24:56.606Z",181
"Krok 2","2017-09-02T15:24:58.384Z",435
"Krok 2","2017-09-02T15:24:59.534Z",165
"Krok 2","2017-09-02T15:25:01.89Z",176
"Krok 2","2017-09-02T15:25:03.638Z",176
"Krok 2","2017-09-02T15:25:06.054Z",415
"Krok 2","2017-09-02T15:25:07.974Z",349
"Krok 2","2017-09-02T15:25:09.286Z",294
"Krok 2","2017-09-02T15:25:10.938Z",183
"Krok 2","2017-09-02T15:25:12.311Z",177
"Krok 2","2017-09-02T15:25:13.782Z",258
"Krok 2","2017-09-02T15:25:15.376Z",188
"Krok 2","2017-09-02T15:25:17.233Z",198
"Krok 2","2017-09-02T15:25:18.936Z",178
"Krok 2","2017-09-02T15:25:20.601Z",183
"Krok 2","2017-09-02T15:25:23.16Z",196
